oaaclassifier
oaaclassifier: loading data...
oaaclassifier: processing labels...
    converting training labels...
oaaclassifier: training perceptrons (9)...
    percep. 1, itr 1, error 4053.7210159, diff 0.000000
    percep. 1, itr 100, error 69.9534549, diff 0.176002
    percep. 1, itr 200, error 60.1261406, diff 0.058792
    percep. 1, itr 300, error 55.6997512, diff 0.034309
    percep. 1, itr 400, error 52.8389252, diff 0.024169
    percep. 1, itr 500, error 50.7274455, diff 0.018586
    percep. 1, itr 600, error 49.0600333, diff 0.015035
    percep. 1, itr 700, error 47.6875366, diff 0.012576
    percep. 1, itr 800, error 46.5251823, diff 0.010775
    percep. 1, itr 900, error 45.5199242, diff 0.009402
    percep. 1, itr 1000, error 44.6362989, diff 0.008322
    percep. 1, itr 1100, error 43.8494243, diff 0.007454
    percep. 1, itr 1200, error 43.1411858, diff 0.006741
    percep. 1, itr 1300, error 42.4980030, diff 0.006146
    percep. 1, itr 1400, error 41.9094479, diff 0.005644
    percep. 1, itr 1500, error 41.3673507, diff 0.005214
    percep. 1, itr 1600, error 40.8652003, diff 0.004842
    percep. 1, itr 1700, error 40.3977301, diff 0.004518
    percep. 1, itr 1800, error 39.9606239, diff 0.004233
    percep. 1, itr 1900, error 39.5503038, diff 0.003981
    percep. 1, itr 2000, error 39.1637732, diff 0.003756
    percep. 1, itr 2100, error 38.7984987, diff 0.003555
    percep. 1, itr 2200, error 38.4523211, diff 0.003374
    percep. 1, itr 2300, error 38.1233856, diff 0.003209
    percep. 1, itr 2400, error 37.8100882, diff 0.003060
    percep. 1, itr 2500, error 37.5110329, diff 0.002924
    percep. 1, itr 2600, error 37.2249977, diff 0.002800
    percep. 1, itr 2700, error 36.9509072, diff 0.002685
    percep. 1, itr 2800, error 36.6878103, diff 0.002579
    percep. 1, itr 2900, error 36.4348623, diff 0.002482
    percep. 1, itr 3000, error 36.1913094, diff 0.002391
    percep. 1, itr 3100, error 35.9564768, diff 0.002307
    percep. 1, itr 3200, error 35.7297576, diff 0.002229
    percep. 1, itr 3300, error 35.5106048, diff 0.002156
    percep. 1, itr 3400, error 35.2985233, diff 0.002087
    percep. 1, itr 3500, error 35.0930642, diff 0.002023
    percep. 1, itr 3600, error 34.8938186, diff 0.001963
    percep. 1, itr 3700, error 34.7004137, diff 0.001906
    percep. 1, itr 3800, error 34.5125087, diff 0.001853
    percep. 1, itr 3900, error 34.3297910, diff 0.001802
    percep. 1, itr 4000, error 34.1519735, diff 0.001755
    percep. 1, itr 4100, error 33.9787920, diff 0.001710
    percep. 1, itr 4200, error 33.8100028, diff 0.001667
    percep. 1, itr 4300, error 33.6453806, diff 0.001626
    percep. 1, itr 4400, error 33.4847169, diff 0.001588
    percep. 1, itr 4500, error 33.3278185, diff 0.001551
    percep. 1, itr 4600, error 33.1745058, diff 0.001516
    percep. 1, itr 4700, error 33.0246118, diff 0.001483
    percep. 1, itr 4800, error 32.8779808, diff 0.001451
    percep. 1, itr 4900, error 32.7344679, diff 0.001420
    percep. 1, itr 5000, error 32.5939373, diff 0.001391
    percep. 1, itr 5100, error 32.4562623, diff 0.001363
    percep. 1, itr 5200, error 32.3213240, diff 0.001336
    percep. 1, itr 5300, error 32.1890111, diff 0.001310
    percep. 1, itr 5400, error 32.0592190, diff 0.001286
    percep. 1, itr 5500, error 31.9318494, diff 0.001262
    percep. 1, itr 5600, error 31.8068098, diff 0.001239
    percep. 1, itr 5700, error 31.6840130, diff 0.001217
    percep. 1, itr 5800, error 31.5633769, diff 0.001196
    percep. 1, itr 5900, error 31.4448238, diff 0.001175
    percep. 1, itr 6000, error 31.3282806, diff 0.001156
    percep. 1, itr 6100, error 31.2136777, diff 0.001137
    percep. 1, itr 6200, error 31.1009497, diff 0.001118
    percep. 1, itr 6300, error 30.9900342, diff 0.001100
    percep. 1, itr 6400, error 30.8808723, diff 0.001083
    percep. 1, itr 6500, error 30.7734079, diff 0.001066
    percep. 1, itr 6600, error 30.6675879, diff 0.001050
    percep. 1, itr 6700, error 30.5633615, diff 0.001035
    percep. 1, itr 6800, error 30.4606806, diff 0.001019
    percep. 1, itr 6900, error 30.3594992, diff 0.001005
    percep. 1, itr 7000, error 30.2597738, diff 0.000990
    percep. 1, itr 7100, error 30.1614624, diff 0.000976
    percep. 1, itr 7200, error 30.0645252, diff 0.000963
    percep. 1, itr 7300, error 29.9689242, diff 0.000950
    percep. 1, itr 7400, error 29.8746229, diff 0.000937
    percep. 1, itr 7500, error 29.7815865, diff 0.000924
    percep. 1, itr 7600, error 29.6897817, diff 0.000912
    percep. 1, itr 7700, error 29.5991764, diff 0.000900
    percep. 1, itr 7800, error 29.5097399, diff 0.000889
    percep. 1, itr 7900, error 29.4214430, diff 0.000877
    percep. 1, itr 8000, error 29.3342574, diff 0.000866
    percep. 1, itr 8100, error 29.2481560, diff 0.000856
    percep. 1, itr 8200, error 29.1631126, diff 0.000845
    percep. 1, itr 8300, error 29.0791023, diff 0.000835
    percep. 1, itr 8400, error 28.9961010, diff 0.000825
    percep. 1, itr 8500, error 28.9140854, diff 0.000815
    percep. 1, itr 8600, error 28.8330331, diff 0.000806
    percep. 1, itr 8700, error 28.7529227, diff 0.000797
    percep. 1, itr 8800, error 28.6737333, diff 0.000787
    percep. 1, itr 8900, error 28.5954449, diff 0.000778
    percep. 1, itr 9000, error 28.5180382, diff 0.000770
    percep. 1, itr 9100, error 28.4414945, diff 0.000761
    percep. 1, itr 9200, error 28.3657956, diff 0.000753
    percep. 1, itr 9300, error 28.2909243, diff 0.000745
    percep. 1, itr 9400, error 28.2168636, diff 0.000737
    percep. 1, itr 9500, error 28.1435972, diff 0.000729
    percep. 1, itr 9600, error 28.0711094, diff 0.000721
    percep. 1, itr 9700, error 27.9993848, diff 0.000714
    percep. 1, itr 9800, error 27.9284086, diff 0.000706
    percep. 1, itr 9900, error 27.8581666, diff 0.000699
    percep. 1, itr 10000, error 27.7886447, diff 0.000692
    percep. 1, itr 10100, error 27.7198296, diff 0.000685
    percep. 1, itr 10200, error 27.6517082, diff 0.000678
    percep. 1, itr 10300, error 27.5842677, diff 0.000671
    percep. 1, itr 10400, error 27.5174959, diff 0.000664
    percep. 1, itr 10500, error 27.4513808, diff 0.000658
    percep. 1, itr 10600, error 27.3859108, diff 0.000652
    percep. 1, itr 10700, error 27.3210747, diff 0.000645
    percep. 1, itr 10800, error 27.2568614, diff 0.000639
    percep. 1, itr 10900, error 27.1932603, diff 0.000633
    percep. 1, itr 11000, error 27.1302610, diff 0.000627
    percep. 1, itr 11100, error 27.0678535, diff 0.000621
    percep. 1, itr 11200, error 27.0060279, diff 0.000615
    percep. 1, itr 11300, error 26.9447747, diff 0.000610
    percep. 1, itr 11400, error 26.8840845, diff 0.000604
    percep. 1, itr 11500, error 26.8239484, diff 0.000599
    percep. 1, itr 11600, error 26.7643574, diff 0.000593
    percep. 1, itr 11700, error 26.7053029, diff 0.000588
    percep. 1, itr 11800, error 26.6467767, diff 0.000583
    percep. 1, itr 11900, error 26.5887704, diff 0.000578
    percep. 1, itr 12000, error 26.5312762, diff 0.000572
    percep. 1, itr 12100, error 26.4742862, diff 0.000567
    percep. 1, itr 12200, error 26.4177928, diff 0.000563
    percep. 1, itr 12300, error 26.3617886, diff 0.000558
    percep. 1, itr 12400, error 26.3062664, diff 0.000553
    percep. 1, itr 12500, error 26.2512191, diff 0.000548
    percep. 1, itr 12600, error 26.1966397, diff 0.000543
    percep. 1, itr 12700, error 26.1425217, diff 0.000539
    percep. 1, itr 12800, error 26.0888582, diff 0.000534
    percep. 1, itr 12900, error 26.0356429, diff 0.000530
    percep. 1, itr 13000, error 25.9828696, diff 0.000526
    percep. 1, itr 13100, error 25.9305319, diff 0.000521
    percep. 1, itr 13200, error 25.8786239, diff 0.000517
    percep. 1, itr 13300, error 25.8271397, diff 0.000513
    percep. 1, itr 13400, error 25.7760734, diff 0.000509
    percep. 1, itr 13500, error 25.7254196, diff 0.000505
    percep. 1, itr 13600, error 25.6751725, diff 0.000500
    percep. 1, itr 13700, error 25.6253267, diff 0.000496
    percep. 1, itr 13800, error 25.5758771, diff 0.000493
    percep. 1, itr 13900, error 25.5268183, diff 0.000489
    percep. 1, itr 14000, error 25.4781453, diff 0.000485
    percep. 1, itr 14100, error 25.4298530, diff 0.000481
    percep. 1, itr 14200, error 25.3819366, diff 0.000477
    percep. 1, itr 14300, error 25.3343912, diff 0.000474
    percep. 1, itr 14400, error 25.2872122, diff 0.000470
    percep. 1, itr 14500, error 25.2403949, diff 0.000466
    percep. 1, itr 14600, error 25.1939348, diff 0.000463
    percep. 1, itr 14700, error 25.1478275, diff 0.000459
    percep. 1, itr 14800, error 25.1020685, diff 0.000456
    percep. 1, itr 14900, error 25.0566537, diff 0.000452
    percep. 1, itr 15000, error 25.0115787, diff 0.000449
    percep. 1, itr 15100, error 24.9668396, diff 0.000446
    percep. 1, itr 15200, error 24.9224321, diff 0.000442
    percep. 1, itr 15300, error 24.8783524, diff 0.000439
    percep. 1, itr 15400, error 24.8345965, diff 0.000436
    percep. 1, itr 15500, error 24.7911607, diff 0.000433
    percep. 1, itr 15600, error 24.7480410, diff 0.000430
    percep. 1, itr 15700, error 24.7052339, diff 0.000427
    percep. 1, itr 15800, error 24.6627356, diff 0.000423
    percep. 1, itr 15900, error 24.6205427, diff 0.000420
    percep. 1, itr 16000, error 24.5786515, diff 0.000417
    percep. 1, itr 16100, error 24.5370586, diff 0.000414
    percep. 1, itr 16200, error 24.4957606, diff 0.000412
    percep. 1, itr 16300, error 24.4547541, diff 0.000409
    percep. 1, itr 16400, error 24.4140360, diff 0.000406
    percep. 1, itr 16500, error 24.3736028, diff 0.000403
    percep. 1, itr 16600, error 24.3334516, diff 0.000400
    percep. 1, itr 16700, error 24.2935790, diff 0.000397
    percep. 1, itr 16800, error 24.2539820, diff 0.000395
    percep. 1, itr 16900, error 24.2146576, diff 0.000392
    percep. 1, itr 17000, error 24.1756028, diff 0.000389
    percep. 1, itr 17100, error 24.1368147, diff 0.000387
    percep. 1, itr 17200, error 24.0982903, diff 0.000384
    percep. 1, itr 17300, error 24.0600269, diff 0.000381
    percep. 1, itr 17400, error 24.0220215, diff 0.000379
    percep. 1, itr 17500, error 23.9842715, diff 0.000376
    percep. 1, itr 17600, error 23.9467741, diff 0.000374
    percep. 1, itr 17700, error 23.9095266, diff 0.000371
    percep. 1, itr 17800, error 23.8725264, diff 0.000369
    percep. 1, itr 17900, error 23.8357709, diff 0.000366
    percep. 1, itr 18000, error 23.7992575, diff 0.000364
    percep. 1, itr 18100, error 23.7629838, diff 0.000362
    percep. 1, itr 18200, error 23.7269471, diff 0.000359
    percep. 1, itr 18300, error 23.6911451, diff 0.000357
    percep. 1, itr 18400, error 23.6555753, diff 0.000355
    percep. 1, itr 18500, error 23.6202353, diff 0.000352
    percep. 1, itr 18600, error 23.5851229, diff 0.000350
    percep. 1, itr 18700, error 23.5502356, diff 0.000348
    percep. 1, itr 18800, error 23.5155712, diff 0.000346
    percep. 1, itr 18900, error 23.4811275, diff 0.000343
    percep. 1, itr 19000, error 23.4469022, diff 0.000341
    percep. 1, itr 19100, error 23.4128932, diff 0.000339
    percep. 1, itr 19200, error 23.3790982, diff 0.000337
    percep. 1, itr 19300, error 23.3455152, diff 0.000335
    percep. 1, itr 19400, error 23.3121420, diff 0.000333
    percep. 1, itr 19500, error 23.2789765, diff 0.000331
    percep. 1, itr 19600, error 23.2460169, diff 0.000329
    percep. 1, itr 19700, error 23.2132609, diff 0.000327
    percep. 1, itr 19800, error 23.1807066, diff 0.000325
    percep. 1, itr 19900, error 23.1483521, diff 0.000323
    percep. 1, itr 20000, error 23.1161954, diff 0.000321
    percep. 1, itr 20100, error 23.0842346, diff 0.000319
    percep. 1, itr 20200, error 23.0524678, diff 0.000317
    percep. 1, itr 20300, error 23.0208932, diff 0.000315
    percep. 1, itr 20400, error 22.9895089, diff 0.000313
    percep. 1, itr 20500, error 22.9583131, diff 0.000311
    percep. 1, itr 20600, error 22.9273041, diff 0.000309
    percep. 1, itr 20700, error 22.8964799, diff 0.000307
    percep. 1, itr 20800, error 22.8658390, diff 0.000306
    percep. 1, itr 20900, error 22.8353795, diff 0.000304
    percep. 1, itr 21000, error 22.8050998, diff 0.000302
    percep. 1, itr 21100, error 22.7749982, diff 0.000300
    percep. 1, itr 21200, error 22.7450731, diff 0.000298
    percep. 1, itr 21300, error 22.7153227, diff 0.000297
    percep. 1, itr 21400, error 22.6857455, diff 0.000295
    percep. 1, itr 21500, error 22.6563399, diff 0.000293
    percep. 1, itr 21600, error 22.6271043, diff 0.000292
    percep. 1, itr 21700, error 22.5980371, diff 0.000290
    percep. 1, itr 21800, error 22.5691369, diff 0.000288
    percep. 1, itr 21900, error 22.5404020, diff 0.000287
    percep. 1, itr 22000, error 22.5118310, diff 0.000285
    percep. 1, itr 22100, error 22.4834224, diff 0.000283
    percep. 1, itr 22200, error 22.4551747, diff 0.000282
    percep. 1, itr 22300, error 22.4270865, diff 0.000280
    percep. 1, itr 22400, error 22.3991564, diff 0.000279
    percep. 1, itr 22500, error 22.3713829, diff 0.000277
    percep. 1, itr 22600, error 22.3437646, diff 0.000275
    percep. 1, itr 22700, error 22.3163002, diff 0.000274
    percep. 1, itr 22800, error 22.2889883, diff 0.000272
    percep. 1, itr 22900, error 22.2618276, diff 0.000271
    percep. 1, itr 23000, error 22.2348166, diff 0.000269
    percep. 1, itr 23100, error 22.2079542, diff 0.000268
    percep. 1, itr 23200, error 22.1812389, diff 0.000266
    percep. 1, itr 23300, error 22.1546696, diff 0.000265
    percep. 1, itr 23400, error 22.1282449, diff 0.000264
    percep. 1, itr 23500, error 22.1019636, diff 0.000262
    percep. 1, itr 23600, error 22.0758244, diff 0.000261
    percep. 1, itr 23700, error 22.0498262, diff 0.000259
    percep. 1, itr 23800, error 22.0239676, diff 0.000258
    percep. 1, itr 23900, error 21.9982475, diff 0.000257
